model_param,MAP,cred_upper,cred_lower,paramEst
M00_LIT_LIT_firstTermPreference,1.4852819618953517,1.5294555937057501,1.4294077893987156,"1.49 (1.43, 1.53)"
M00_LIT_LIT_noise,0.01443149397548282,0.016964124926993746,0.011749346072237925,"0.01 (0.01, 0.02)"
M00_LIT_LIT_nvcWeight,0.9992278092192997,1,1,"1 (1, 1)"
M00_LIT_LIT_speakerOptimality,1.8355328568067053,1.8836360349460397,1.768912679476178,"1.84 (1.77, 1.88)"
M01_LIT_PRAG_BELIEF_firstTermPreference,2.182738914842265,2.3247380224253615,2.055177669147477,"2.18 (2.06, 2.32)"
M01_LIT_PRAG_BELIEF_noise,0.00916136959363276,0.016630814013669164,0.006053428947607683,"0.01 (0.01, 0.02)"
M01_LIT_PRAG_BELIEF_nvcWeight,0.9992278092192997,1,1,"1 (1, 1)"
M01_LIT_PRAG_BELIEF_speakerOptimality,1.2107205914615489,1.537443989804368,1.1160862168641545,"1.21 (1.12, 1.54)"
M02_LIT_PRAG_STATE_firstTermPreference,1.6658515574575548,1.768633680547812,1.5694237009978143,"1.67 (1.57, 1.77)"
M02_LIT_PRAG_STATE_noise,2.0121657874767657e-6,6.643421109134407e-6,2.014091180699615e-6,"0 (0, 0)"
M02_LIT_PRAG_STATE_nvcWeight,0.9992278092192997,1,1,"1 (1, 1)"
M02_LIT_PRAG_STATE_speakerOptimality,0.27605775793257914,0.3051448776467174,0.25670980455809306,"0.28 (0.26, 0.31)"
